id,name,type,synonyms
HP:0000267,Cranial asymmetry,Phenotype,Asymmetry of head | Uneven head shape | Asymmetry of cranium | Cranial vault asymmetry | Abnormality of cranial vault shape | Abnormality of cranium shape | Abnormality of head shape | Malformation of cranial vault shape | Malformation of cranium shape | Malformation of head shape
HP:0000268,Dolichocephaly,Phenotype,"Narrow cranium shape | Narrow head shape | Narrow skull shape | Turridolichocephaly | Long, narrow head | Tall and narrow skull | Large dolichocephalic skull"
HP:0000269,Prominent occiput,Phenotype,Prominent back of the head | Prominent posterior head | Protruding back of the head | Prominent back of the skull | Prominent posterior cranium | Prominent posterior skull | Protruding occiput
HP:0000270,Delayed cranial suture closure,Phenotype,Broad late closing cranial sutures | Delayed closure of fontanel | Delayed closure of fontanelles | Delayed closure of fontanels | Delayed closure of the fontanelles | Delayed fontanel closure | Delayed fontanelle closure | Late closing fontanelles | Late closure of fontanelle | Late-closing fontanelle | Open sutures
HP:0000271,Abnormality of the face,Phenotype,Abnormality of the countenance | Abnormality of the physiognomy | Abnormality of the visage | Abnormal face | Facial abnormality | Anomaly of face | Anomaly of the face | Disorder of face | Disorder of the face | Facial anomaly
HP:0000272,Malar flattening,Phenotype,Decreased size of malar bone | Depressed malar region | Flat cheekbone | Malar hypoplasia | Underdevelopment of malar bone | Zygomatic flattening | Hypotrophic malar bone
HP:0000273,Facial grimacing,Phenotype,
HP:0000274,Small face,Phenotype,Facial hypoplasia | Hypoplasia of face | Microface | Microfacies | Short and narrow face | Small facies
HP:0000275,Narrow face,Phenotype,Decreased breadth of face | Decreased horizontal dimension of face | Decreased transverse dimension of face | Decreased width of face | Horizontal deficiency of face | Horizontal hypoplasia of face | Horizontal insufficiency of face | Narrow facies | Thin facies | Transverse deficiency of face | Transverse hypoplasia of face | Transverse insufficiency of face | Thin face
HP:0000276,Long face,Phenotype,Elongation of face | Increased height of face | Increased length of face | Increased vertical dimension of face | Long facies | Vertical Facial Excess | Vertical elongation of face | Vertical enlargement of face | Vertical excess of face | Vertical hyperplasia of face | Vertical overgrowth of face
HP:0000277,Abnormal mandible morphology,Phenotype,Abnormality of the lower jaw bone | Abnormality of the mandible | Anomaly of the mandible | Deformity of the lower jaw bone | Deformity of the mandible | Malformation of the lower jaw bone | Malformation of the mandible
HP:0000278,Retrognathia,Phenotype,Lower jaw retrognathia | Lower jaw retrusion | Mandibular retrognathia | Mandibular retrusion | Receding chin | Receding lower jaw | Receding mandible | Retrognathia of lower jaw | Retrusion of lower jaw | Weak chin | Weak jaw | Retrogenia
HP:0000280,Coarse facial features,Phenotype,Coarse face | Coarse facial appearance | Coarse facies | Rounded and heavy facial features | Thickened facial skin with coarse facial features
HP:0000282,Facial edema,Phenotype,Facial oedema | Facial puffiness | Facial swelling | Swelling of the face
HP:0000283,Broad face,Phenotype,Broad facies | Horizontal excess of face | Horizontal hyperplasia of face | Increased breadth of face | Increased horizontal dimension of face | Increased transverse dimension of face | Increased width of face | Transverse excess of face | Transverse hyperplasia of face | Wide face | Wide facies
HP:0000284,obsolete Abnormality of the ocular region,Phenotype,
HP:0000286,Epicanthus,Phenotype,Epicanthal fold | Epicanthal folds | Epicanthic folds | Eye folds | Palpebronasal fold | Plica palpebronasalis | Prominent eye folds
HP:0000287,Increased facial adipose tissue,Phenotype,Increased amount of facial adipose tissue | Increased amount of facial fat | Increased volume of facial adipose tissue | Facial fat hyperplasia | Facial fat hypertrophy | Hyperplasia of facial adipose tissue | Hypertrophy of facial adipose tissue
HP:0000288,Abnormality of the philtrum,Phenotype,Abnormal philtrum | Abnormality of the infranasal depression | Abnormality of the paralabial region
HP:0000289,Broad philtrum,Phenotype,Increased breadth of philtrum | Increased horizontal dimension of philtrum | Increased transverse dimension of philtrum | Increased width of philtrum | Wide philtrum
HP:0000290,Abnormal forehead morphology,Phenotype,Abnormality of the forehead | Abnormality of the frontal region of the face | Anomaly of the forehead | Deformity of the forehead | Malformation of the forehead
HP:0000291,Abnormality of facial adipose tissue,Phenotype,Abnormality of facial fat | Deformity of facial adipose tissue | Malformation of facial adipose tissue
HP:0000292,Loss of facial adipose tissue,Phenotype,Decreased amount of facial adipose tissue | Decreased amount of facial fat | Decreased volume of facial adipose tissue | Loss of facial fat | Loss of facial subcutaneous adipose tissue | Loss of subcutaneous adipose tissue from face
HP:0000293,Full cheeks,Phenotype,Apple cheeks | Big cheeks | Increased size of cheeks | Large cheeks | Chubby cheeks | Hyperplasia of cheeks | Hypertrophy of cheeks | Puffy cheeks
HP:0000294,Low anterior hairline,Phenotype,Low frontal hairline | Low-set frontal hairline
HP:0000295,Doll-like facies,Phenotype,Doll-like facial appearance
HP:0000297,Facial hypotonia,Phenotype,Decreased facial muscle tone | Hypotonic facies | Low facial muscle tone | Reduced facial muscle tone | Atony of facial musculature
